date,label,count,conf
2011-01-10,"""POSITIVE""",2,0.9120631814002991
2011-01-11,"""NEGATIVE""",6,0.803528293967247
2011-01-15,"""POSITIVE""",4,0.940341055393219
2011-02-07,"""NEGATIVE""",4,0.8735303282737732
2011-02-08,"""NEGATIVE""",2,0.739919900894165
2011-02-11,"""NEGATIVE""",2,0.8821327686309814
2011-02-12,"""NEGATIVE""",2,0.8293776126468883
2011-02-15,"""NEGATIVE""",8,0.8599366391626534
2011-02-15,"""POSITIVE""",2,0.9072606712579727
2011-02-16,"""NEGATIVE""",2,0.8632967360317707
2011-03-02,"""POSITIVE""",4,0.9276651463857511
2011-03-03,"""NEGATIVE""",6,0.85239494394982
2011-03-04,"""NEGATIVE""",9,0.8239281501583379
2011-03-06,"""POSITIVE""",2,0.9089810289442539
2011-03-07,"""POSITIVE""",7,0.9278420960096491
2011-03-10,"""NEGATIVE""",3,0.9633910059928894
2011-03-10,"""POSITIVE""",6,0.8578169941902161
2011-04-05,"""NEGATIVE""",6,0.8375639915466309
2011-04-06,"""NEGATIVE""",6,0.9139800548553466
2011-04-06,"""POSITIVE""",6,0.8895010219679939
2011-04-07,"""NEGATIVE""",2,0.9659072756767273
2011-04-07,"""POSITIVE""",2,0.9992877542972565
2011-04-15,"""POSITIVE""",2,0.8394052783648173
2011-05-03,"""NEGATIVE""",6,0.8490340367511467
2011-05-04,"""POSITIVE""",2,0.9229096128390386
2011-05-05,"""POSITIVE""",4,0.8261015514532725
2011-05-06,"""NEGATIVE""",4,0.8902599498953507
2011-05-10,"""NEGATIVE""",2,0.8963473098618644
2011-05-11,"""NEGATIVE""",6,0.6728617151578268
2011-05-11,"""POSITIVE""",6,0.892571210861206
2011-05-14,"""POSITIVE""",4,0.8657401374408177
2011-06-01,"""NEGATIVE""",6,0.8575526382774115
2011-06-02,"""POSITIVE""",4,0.9169590347691586
2011-06-03,"""POSITIVE""",6,0.7863527678308033
2011-06-05,"""NEGATIVE""",6,0.9488255083560944
2011-06-08,"""NEGATIVE""",6,0.8416128812564744
2011-06-09,"""NEGATIVE""",2,0.9331102639436721
2011-06-11,"""POSITIVE""",2,0.9058800874085262
2011-06-14,"""NEGATIVE""",4,0.83998960852623
2011-06-14,"""POSITIVE""",2,0.8647173643112183
2011-07-01,"""NEGATIVE""",6,0.9167928795019785
2011-07-03,"""POSITIVE""",4,0.8506941348314285
2011-07-05,"""POSITIVE""",2,0.9703286588191986
2011-07-06,"""NEGATIVE""",4,0.9727228283882141
2011-07-06,"""POSITIVE""",4,0.9303716917832692
2011-07-07,"""NEGATIVE""",6,0.8069554567337036
2011-07-08,"""POSITIVE""",8,0.8912500101327896
2011-07-11,"""NEGATIVE""",7,0.8693280730928693
2011-07-11,"""POSITIVE""",3,0.9964314699172974
2011-07-12,"""POSITIVE""",2,0.9990251064300537
2011-07-14,"""NEGATIVE""",4,0.8538545032342275
2011-07-15,"""POSITIVE""",2,0.8473318070173264
2011-08-02,"""NEGATIVE""",4,0.9496701831316076
2011-08-03,"""NEGATIVE""",4,0.8667245584584418
2011-08-05,"""NEGATIVE""",4,0.8756454037502408
2011-08-05,"""POSITIVE""",2,0.924580991268158
2011-08-06,"""NEGATIVE""",2,0.9888944625854492
2011-08-07,"""NEGATIVE""",2,0.8814879953861237
2011-08-07,"""POSITIVE""",6,0.9002699770710684
2011-08-08,"""NEGATIVE""",6,0.9259317346377696
2011-08-09,"""NEGATIVE""",2,0.8652137120564779
2011-08-10,"""POSITIVE""",6,0.9542485607994927
2011-08-11,"""NEGATIVE""",2,0.8957073986530304
2011-08-11,"""POSITIVE""",4,0.8858811606963476
2011-08-12,"""POSITIVE""",4,0.9162653173719134
2011-08-14,"""POSITIVE""",2,0.9899904131889343
2011-10-04,"""NEGATIVE""",4,0.9944297671318054
2011-10-05,"""POSITIVE""",2,0.8458282202482224
2011-10-06,"""POSITIVE""",2,0.7369691626778965
2011-10-07,"""NEGATIVE""",2,0.9656777381896973
2011-10-07,"""POSITIVE""",3,0.9992837309837341
2011-10-09,"""NEGATIVE""",4,0.8382367938756943
2011-10-11,"""NEGATIVE""",4,0.9147956172625223
2011-10-11,"""POSITIVE""",4,0.9047106452610182
2011-10-12,"""NEGATIVE""",3,0.9974024891853333
2011-11-07,"""POSITIVE""",4,0.8423646688461304
2011-11-09,"""NEGATIVE""",4,0.9178048133850097
2011-11-09,"""POSITIVE""",8,0.9216678726604617
2011-11-10,"""POSITIVE""",4,0.9440329849720002
2011-11-11,"""POSITIVE""",2,0.8738008614244133
2011-12-05,"""POSITIVE""",4,0.9739777565002441
2011-12-06,"""POSITIVE""",4,0.8402177393436432
2011-12-07,"""POSITIVE""",4,0.9632344841957092
2011-12-08,"""NEGATIVE""",6,0.9453325466061315
2011-12-08,"""POSITIVE""",4,0.9247071743011475
2011-12-11,"""POSITIVE""",2,0.9905474185943604
2011-12-12,"""NEGATIVE""",4,0.8970265723764896
2012-01-02,"""NEGATIVE""",6,0.8934660509780601
2012-01-03,"""POSITIVE""",2,0.904888778924942
2012-01-04,"""POSITIVE""",6,0.9573554595311483
2012-01-06,"""POSITIVE""",4,0.7429371476173401
2012-01-07,"""POSITIVE""",6,0.8812511364618936
2012-01-08,"""POSITIVE""",6,0.9062463760375977
2012-01-11,"""NEGATIVE""",4,0.8719894091288249
2012-01-11,"""POSITIVE""",6,0.9521482586860657
2012-01-12,"""NEGATIVE""",1,0.8606725931167603
2012-01-14,"""POSITIVE""",2,0.8321587145328522
2012-01-15,"""NEGATIVE""",2,0.8984916784933635
2012-02-01,"""NEGATIVE""",2,0.9309703707695007
2012-02-02,"""NEGATIVE""",3,0.9673141638437907
2012-02-04,"""POSITIVE""",2,0.9664637744426727
2012-02-08,"""NEGATIVE""",16,0.8928958857028275
2012-02-08,"""POSITIVE""",6,0.9985030889511108
2012-02-09,"""NEGATIVE""",6,0.9431600213050843
2012-02-09,"""POSITIVE""",6,0.7634090913666619
2012-02-10,"""NEGATIVE""",6,0.87483016649882
2012-02-11,"""POSITIVE""",6,0.8860740109726235
2012-02-15,"""POSITIVE""",2,0.9018751242581535
2012-03-02,"""NEGATIVE""",4,0.8281908631324768
2012-03-03,"""POSITIVE""",3,0.9745335141817729
2012-03-04,"""NEGATIVE""",2,0.955038845539093
2012-03-04,"""POSITIVE""",12,0.9339940215532597
2012-03-05,"""NEGATIVE""",6,0.8509403665860494
2012-03-06,"""NEGATIVE""",4,0.792315661907196
2012-03-06,"""POSITIVE""",6,0.9199343671401342
2012-03-08,"""POSITIVE""",12,0.8951241473356882
2012-03-09,"""POSITIVE""",4,0.8156942377487818
2012-03-14,"""NEGATIVE""",4,0.938145105044047
2012-04-02,"""POSITIVE""",6,0.8870160160241304
2012-04-04,"""NEGATIVE""",6,0.7578195333480835
2012-04-05,"""POSITIVE""",6,0.9251810073852539
2012-04-07,"""POSITIVE""",10,0.9020262139184135
2012-04-09,"""POSITIVE""",4,0.8341499269008636
2012-04-11,"""POSITIVE""",24,0.9838130990664166
2012-04-12,"""NEGATIVE""",7,0.9551312348672322
2012-04-14,"""NEGATIVE""",4,0.8409952918688456
2012-05-01,"""NEGATIVE""",4,0.8312332452762694
