date,open,close,high,low,volume
2013-04-01,99.06342609865469,99.0542948430493,105.9,92.49999,4996.090411179998
2013-04-02,107.71758528127863,107.71779822990167,115.79983854,99,7672.292838230008
2013-04-03,127.87872933402939,127.90442765016489,146.88,101.51088,13352.645247549995
2013-04-04,131.28665951556187,131.29799867129827,143,114.05778213,7001.4627501100085
2013-04-05,137.34387628491626,137.38050592178774,145,128.25,5719.305225189999
2013-04-06,142.37653378698232,142.37245686390546,144.45,139,1580.0237634599994
2013-04-07,152.39044974299068,152.42075394859808,164.75,142.507,4134.86507974
2013-04-08,180.20709606927716,180.2015540361446,194.57,160.65,10299.665591530002
2013-04-09,211.7481388888888,211.8682820512821,240.2,184.998,6116.134164259996
2013-04-10,219.00789812118504,218.8348242495512,290,19.9,11249.762241000002
2013-04-11,145.09815933908055,144.9735237068966,232.75,1.06,21954.17735827
2013-04-12,87.30079807197944,87.47635706940869,157,51,36923.22841400998
2013-04-13,109.51374791288565,109.5051869328494,130,81.12,24091.245685969985
2013-04-14,100.03531226215648,100.02091839323472,110.18,20,17640.26804937
2013-04-15,92.45600639658844,92.37226439232406,104,75.611,13531.630779290013
2013-04-16,67.50572177824269,67.56626580334733,84.48,0.01,29217.52484447001
2013-04-17,82.42830014534881,82.45962601744182,98.9,63.5,18878.021106579992
2013-04-18,94.04963357142864,94.04319857142872,103.3,87,8600.23356131
2013-04-19,117.99002468085116,118.04564524822716,142,97,21401.609695809995
2013-04-20,121.40185168539315,121.38763988764036,132,114.9,7072.660201989997
2013-04-21,124.00474386281591,123.93726823104684,131.001,110,11021.307665849994
2013-04-22,122.69917419354833,122.6823161290322,127.3,116.01,7034.77659948
2013-04-23,132.54904923580781,132.56316500000003,142.82,124.859,10334.124948870007
2013-04-24,151.19279499341224,151.2252885375492,166.99,140.39,27489.168262759984
2013-04-25,150.22200332412197,150.2214994454714,169.13,120.03,19165.94635968
2013-04-26,134.04133386243382,134.24933156966472,148,13,15581.786997660003
2013-04-27,133.0796527999999,133.09497502499983,147.51,121.46,8026.672157860003
2013-04-28,133.26560655737708,133.22748770491805,136.99,126.32,7202.011088229998
2013-04-29,140.34304070450116,140.33437142857147,148.5,113.42,9306.303870639997
2013-04-30,141.06056984886652,141.0427780604535,146.6752,133.89,10366.218011800003
